"ISBN, ISSN...",Titre,Auteur,Cote,Nbr. Exp.,Titre_clean,Source,1y,2y,3y,4y,5y,teacher,semester_1,semester_2,total_borrowed
978996101320,Calcul DIfferentiel et Integral Tome 01,"Piskounov,N",515.33/PIS/1,6.0,CALCUL DIFFERENTIEL ET INTEGRAL TOME 01,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
9782744070372,"Compilateurs : principes, techniques et outils : avec plus de 200 exercices","Aho, Alfred",004.4 AHO/1,2.0,COMPILATEURS PRINCIPES TECHNIQUES ET OUTILS AVEC PLUS DE 200 EXERCICES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2729823212,"Bit après bit : numération, arithmétique binaire, logique combinatoire","Mercier, Jean-Jacques",513.52 MER/1,1.0,BIT APRES BIT NUMERATION ARITHMETIQUE BINAIRE LOGIQUE COMBINATOIRE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274640432X,"Le Nouveau guide du PC : comprendre, acheter, entretenir, améliorer","Steiner, Jack",004 STE/1,1.0,LE NOUVEAU GUIDE DU PC COMPRENDRE ACHETER ENTRETENIR AMELIORER,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2704200106,Introduction à l'informatique : cours et problèmes,"Scheid, Francis",004 SCH,1.0,INTRODUCTION A L INFORMATIQUE COURS ET PROBLEMES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961017210,Compilation : cours et exercices corrigés,"Ait-Aoudia, Samy",005.453 AIT/1,2.0,COMPILATION COURS ET EXERCICES CORRIGES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782744072871,UML 2 : pratique de la modélisation,"Charroux, B",005.117 CHA/1,1.0,UML 2 PRATIQUE DE LA MODELISATION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782711748662,"Introduction au traitement d'images : théories, algorithmes, applications","Lingrand, Diane",621.367 LIN/1,2.0,INTRODUCTION AU TRAITEMENT D IMAGES THEORIES ALGORITHMES APPLICATIONS,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
9782746220478,"UNIX, Linux, BSD : utilisateurs et développeurs","Pélissier, Christian",005.432 PEL/1,1.0,UNIX LINUX BSD UTILISATEURS ET DEVELOPPEURS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9791090085077,Apprenez à programmer en Java : a programmation professionnelle à la portée de tous !,"Herby, Cyrille",005.133 DEL /1,2.0,APPRENEZ A PROGRAMMER EN JAVA A PROGRAMMATION PROFESSIONNELLE A LA PORTEE DE TOUS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2729826203,"Compilation des langages de programmation : ce que fait un compilateur, comment le réaliser","Gautier, Martine",005.453 GAU/1,2.0,COMPILATION DES LANGAGES DE PROGRAMMATION CE QUE FAIT UN COMPILATEUR COMMENT LE REALISER,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100066692,Unix administration : systèmes et réseaux,"Moreno, Jean-Michel",005.432 MOR/1,1.0,UNIX ADMINISTRATION SYSTEMES ET RESEAUX,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782100710409,Arduino : maîtrisez sa programmation et ses cartes d'interface (shields),"Tavernier, Christian",621.395 ARD/1,4.0,ARDUINO MAITRISEZ SA PROGRAMMATION ET SES CARTES D INTERFACE SHIELDS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782729831059,"Excel pour l'ingénieur : bases, graphiques, calculs, macros, VBA","Bellan, Philippe",005.54 BEL/1,1.0,EXCEL POUR L INGENIEUR BASES GRAPHIQUES CALCULS MACROS VBA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
978221212624,Linux administration. T. 1 : Les bases de l'administration système,"Bouchaudy, Jean-François",005.432 BOU/1,1.0,LINUX ADMINISTRATION T 1 LES BASES DE L ADMINISTRATION SYSTEME,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782867394805,Informatique et numérique à l'usage des seniors,"Germain, Michele",004.678 GER/1,1.0,INFORMATIQUE ET NUMERIQUE A L USAGE DES SENIORS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782746048157,Oracle 11g : entraînez-vous sur SQL et PL/SQL,"Gabillaud, Jérôme",004 GAB,1.0,ORACLE 11G ENTRAINEZ VOUS SUR SQL ET PL SQL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2746214830,Contrôle des applications temps-réel : modèles temporisés et hybrides,"Cassez, Franck",004 CAS/1,1.0,CONTROLE DES APPLICATIONS TEMPS REEL MODELES TEMPORISES ET HYBRIDES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782746229815,Informatique et intelligence ambiante : des capteurs aux applications,"Calvary, Gaëlle",006.3 CALL/1,1.0,INFORMATIQUE ET INTELLIGENCE AMBIANTE DES CAPTEURS AUX APPLICATIONS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782212128895,Accessibilité Web : normes et bonnes pratiques pour des sites plus accessibles,"Altinier, Armony",004.678 ALT/1,1.0,ACCESSIBILITE WEB NORMES ET BONNES PRATIQUES POUR DES SITES PLUS ACCESSIBLES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782746212879,Informatique diffuse : des concepts à la réalité,"Banâtre, Michel",004.36 BAN/1,1.0,INFORMATIQUE DIFFUSE DES CONCEPTS A LA REALITE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2729826785,Le Projet informatique de A à Z : approche pragmatique de la gestion de projet,"Frémaux, Valéry Guilhem",005.12 FRE/1,1.0,LE PROJET INFORMATIQUE DE A A Z APPROCHE PRAGMATIQUE DE LA GESTION DE PROJET,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782100563470,Les Cartes à puce : théorie et mise en oeuvre,"Tavernier, Christian",621.381 53 TAV,1.0,LES CARTES A PUCE THEORIE ET MISE EN OEUVRE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782729829964,Concevoir son microprocesseur : structure des systèmes logiques,"Buisson, Jean-Christophe",621.395 BUI/1,3.0,CONCEVOIR SON MICROPROCESSEUR STRUCTURE DES SYSTEMES LOGIQUES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782311004762,"Architecture des ordinateurs : mémoires à semi-conducteurs, principe de fonctionnement et organisation interne des mémoires vives","Darche, Philippe",004.22 DAR/1,1.0,ARCHITECTURE DES ORDINATEURS MEMOIRES A SEMI CONDUCTEURS PRINCIPE DE FONCTIONNEMENT ET ORGANISATION INTERNE DES MEMOIRES VIVES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961006030,Introduction a l'architecture des ordinateurs,"Drias-Zerkaoui, Habiba",,15.0,INTRODUCTION A L ARCHITECTURE DES ORDINATEURS,,3.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0
9782746085398,"Les VPN : fonctionnement, mise en oeuvre et maintenance des réseaux privés virtuels","Archier, Jean-Paul",004.67 ARC/1,1.0,LES VPN FONCTIONNEMENT MISE EN OEUVRE ET MAINTENANCE DES RESEAUX PRIVES VIRTUELS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789957525880,Digital signal processing (with matlab) : ?????? ??????? ??????? ???????? ????????,Abu Jzar; Amjad abbas,004 ABU,1.0,DIGITAL SIGNAL PROCESSING WITH MATLAB,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789973375803,Méthodologies de la recherche scientifique,"Zidi, Anés",001.8 ZID/1,1.0,METHODOLOGIES DE LA RECHERCHE SCIENTIFIQUE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
